Unnamed: 0,이미지 이름,text_rate,title_rate,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9,part_10,part_11,part_12
50,부활.jpg,0.217498441495968,0.112422136156803,1,1,1,1,1,1,0,0,0,0,0,0
51,사랑하기 때문에.jpg,0.382679381987014,0.0657300213555131,1,1,1,0,0,0,0,0,0,0,0,0
52,스토커.jpg,0.22224134387128,0.0570259486791428,1,1,1,0,0,0,0,0,0,0,0,0
53,카운트다운.jpg,0.265612679873842,0.079512862211709,1,1,1,1,1,1,0,0,0,0,0,0
54,카트.jpg,0.283354118194508,0.0884156972235148,0,0,0,0,0,0,1,1,1,1,1,1
55,크리드2.jpg,0.234004880138114,0.0972989294675181,0,0,0,1,1,1,1,1,1,0,0,0
56,크리미널.jpg,0.249418584058052,0.0662668211659925,1,1,1,0,1,0,0,0,0,0,0,0
57,탑.jpg,0.230525578135949,0.122329362298528,0,0,0,1,1,1,1,1,1,0,0,0
58,티탄.jpg,0.246512640449438,0.114044943820225,0,0,0,0,0,0,1,1,1,1,1,1
59,틸.jpg,0.244216044872966,0.107327905255366,0,0,0,0,1,0,1,1,1,0,0,0
60,퍼펙트맨.jpg,0.455565187681056,0.0447366794973848,1,1,1,0,0,0,0,0,0,0,0,0
61,히든 피겨스.jpg,0.165623202316124,0.0251018229103906,1,1,1,0,0,0,0,0,0,0,0,0
62,가디언즈 오브 갤럭시 VOL. 2.jpg,0.212880664380496,0.102947412721595,1,1,1,1,1,1,0,0,0,0,0,0
63,가디언즈 오브 갤럭시- Volume 3.jpg,0.173940261998404,0.0700517935558559,0,0,0,0,0,0,1,1,1,1,1,1
64,가디언즈 오브 갤럭시.jpg,0.258436934489929,0.069348532398645,1,1,1,0,0,0,0,0,0,0,0,0
65,가려진 시간.jpg,0.0994171733539626,0.0546259294561281,1,1,1,0,0,0,0,0,0,0,0,0
66,가문의 영광- 리턴즈.jpg,0.17692416249781,0.0872961802243721,1,1,1,0,0,0,0,0,0,0,0,0
67,가문의 영광4 - 가문의 수난.jpg,0.405425785634119,0.20314253647587,1,1,1,1,1,1,0,0,0,0,0,0
68,가문의 영광5 - 가문의 귀환.jpg,0.458354452202396,0.197286440824067,0,0,0,1,1,1,1,1,1,0,0,0
69,가버나움.jpg,0.120381041181041,0.0356923076923077,1,1,0,0,0,0,0,0,0,0,0,0
70,가비.jpg,0.212155388471178,0.0836466165413534,1,1,1,0,0,0,0,0,0,0,0,0
71,가여운 것들.jpg,0.149825564099559,0.0450558465324667,0,0,0,0,0,0,0,0,0,1,1,0
72,"가장 따뜻한 색, 블루.jpg",0.225520050359956,0.130172639778302,1,1,0,1,1,0,0,0,0,0,0,0
73,가재가 노래하는 곳.jpg,0.216055975307239,0.0952451286712492,1,1,1,0,1,0,0,0,0,0,0,0
74,간기남.jpg,0.202969600616659,0.0875675675675676,1,1,1,0,0,0,0,0,0,0,0,0
75,간첩.jpg,0.233634695257413,0.0836781609195402,0,0,0,0,0,0,1,1,1,1,1,1
76,갈매기.jpg,0.0649043963712492,0.0240334961618981,0,0,0,1,0,0,0,0,0,0,0,0
77,감기.jpg,0.233724346568619,0.0673285624306773,0,0,0,1,1,1,1,1,1,0,0,0
78,감쪽같은 그녀.jpg,0.19033798782671,0.0623329752953813,1,1,1,0,0,0,0,0,0,0,0,0
79,강남 1970.jpg,0.230115494922874,0.15517091698318,1,1,1,1,1,1,0,0,0,0,0,0
80,강변의 무코리타.jpg,0.147135059482155,0.0703358992302309,0,0,0,0,0,0,0,1,0,1,1,1
81,강철대오-구국의 철가방.jpg,0.393812904617385,0.135614228557367,1,1,1,1,1,1,0,0,0,0,0,0
82,강철비.jpg,0.219446466060182,0.118404478656403,0,0,0,0,1,1,0,1,1,0,0,0
83,강철비2 - 정상회담 확장판.jpg,0.16119881804079,0.0866928490757177,0,0,1,0,0,1,0,0,0,0,0,0
84,강철비2- 정상회담.jpg,0.14841584689682,0.0775493278048084,1,1,1,0,0,0,0,0,0,0,0,0
85,같은 속옷을 입는 두 여자.jpg,0.284693998604327,0.147993719469644,1,1,1,0,0,0,0,0,0,0,0,0
86,개들의 섬.jpg,0.261664163822526,0.229160409556314,0,0,0,1,1,0,1,1,1,1,1,0
87,개들의 전쟁.jpg,0.358520885684111,0.311220061424912,1,1,1,1,1,1,0,0,0,0,0,0
88,개를 훔치는 완벽한 방법.jpg,0.133189121989122,0.0381535353535354,0,0,0,0,0,0,0,0,0,0,1,0
89,갬빗.jpg,0.442169353440804,0.0987909516380655,1,1,0,0,0,0,0,0,0,0,0,0
90,거래완료.jpg,0.199422191207258,0.056182135380321,0,0,0,0,0,0,0,1,0,1,1,1
91,거미줄에 걸린 소녀.jpg,0.190115788666513,0.0665821389784989,0,1,0,0,1,0,0,0,0,0,0,0
92,거미집.jpg,0.152403117403118,0.0609180609180609,1,1,1,1,1,1,0,0,0,0,0,0
93,거인.jpg,0.186328534031414,0.124934554973822,0,0,1,0,0,1,0,0,0,0,0,0
94,건즈 아킴보.jpg,0.307274870344177,0.164381581015244,1,1,1,1,1,1,0,0,0,0,0,0
95,건파우더 밀크셰이크.jpg,0.26363202247191,0.176404494382022,1,1,1,0,0,0,0,0,0,0,0,0
96,걷기왕.jpg,0.211717142857143,0.0654642857142857,0,0,0,0,0,0,1,1,1,0,0,0
97,걸 온 더 트레인.jpg,0.218076253680681,0.0548014075686224,1,1,1,0,0,0,0,0,0,0,0,0
98,걸캅스.jpg,0.198177857142857,0.0784928571428571,0,0,0,0,0,0,1,1,1,1,1,1
99,걸후드.jpg,0.537001001878904,0.273748945590972,1,1,1,1,1,1,0,0,0,0,0,0
100,검객.jpg,0.283595632960938,0.246150507011709,0,0,0,1,1,0,1,1,0,1,1,0
101,검우강호.jpg,0.33170559094126,0.0806440198159943,1,1,1,1,1,1,0,0,0,0,0,0
102,결백.jpg,0.156083682008368,0.0588716875871688,0,0,1,0,0,1,0,0,0,0,0,0
103,결정적 한방.jpg,0.455635893589739,0.22054864118507,0,0,0,0,0,0,1,1,0,1,1,0
104,결혼하지 않아도 괜찮을까.jpg,0.206707615945401,0.0832864898402358,0,0,0,0,0,0,0,1,1,0,1,1
105,경아의 딸.jpg,0.122565614035088,0.0423712280701754,0,0,0,0,0,0,0,0,0,0,1,1
106,경주.jpg,0.437405553026855,0.322257624032772,0,0,0,0,0,0,1,1,1,1,1,1
107,고령화 가족.jpg,0.222198601398601,0.0788454545454546,0,1,1,0,0,0,0,0,0,0,0,0
108,고백.jpg,0.116466314646294,0.0536925581752006,0,0,0,0,1,0,1,1,1,0,0,0
109,고속도로 가족.jpg,0.156624186192041,0.100963933716019,1,1,0,0,0,0,0,0,0,0,0,0
110,고스트 라이더 - 복수의 화신.jpg,0.263644813754297,0.106101009452871,1,1,1,0,0,0,0,0,0,0,0,0
111,고스트버스터즈.jpg,0.225733498175678,0.0764377501881329,1,1,1,0,0,0,0,0,0,0,0,0
112,고양이를 빌려드립니다.jpg,0.216784137078255,0.108695460166048,0,0,0,1,1,1,0,0,0,0,0,0
113,고지전.jpg,0.176624428928541,0.0656322730799069,1,1,1,0,0,0,0,0,0,0,0,0
114,고질라 VS. 콩.jpg,0.136244556509088,0.0548655961544133,0,1,0,0,1,0,0,0,0,0,0,0
115,고질라 X 콩- 뉴 엠파이어.jpg,0.164887127003743,0.0981214880439687,0,0,0,0,0,0,0,0,0,1,1,1
116,고질라- 킹 오브 몬스터.jpg,0.155465180093007,0.0781028855319026,1,1,1,0,0,0,0,0,0,0,0,0
117,고질라.jpg,0.211700609484168,0.0767058123977999,1,1,1,0,0,0,0,0,0,0,0,0
118,"고흐, 영원의 문에서.jpg",0.158571250389772,0.0686273776114749,0,1,1,0,0,0,0,0,0,0,0,0
119,골드.jpg,0.288702256263626,0.081343350100169,0,0,0,1,1,0,0,0,0,0,0,0
120,공기살인.jpg,0.179103436246293,0.123439070377846,1,1,1,1,1,1,0,0,0,0,0,0
121,공기인형.jpg,0.192790528762347,0.105926302537285,0,0,0,0,0,0,1,1,1,1,1,1
122,공자 춘추전국시대.jpg,0.233659167313163,0.0469356089992242,0,0,0,0,0,1,0,1,1,0,0,0
123,공작.jpg,0.100506406418643,0.0365634863915193,1,1,1,0,0,0,0,0,0,0,0,0
124,공정사회.jpg,0.254320341283693,0.0755962769051774,1,1,1,0,0,0,0,0,0,0,0,0
125,공조.jpg,0.196971161988198,0.0584303845274788,1,1,1,0,0,0,0,0,0,0,0,0
126,공조2- 인터내셔날.jpg,0.14451358753376,0.0521566701059084,1,1,1,0,0,0,0,0,0,0,0,0
127,관능의 법칙.jpg,0.212024320802972,0.11007769145394,1,1,1,0,0,0,0,0,0,0,0,0
128,"괜찮아요, 미스터 브래드.jpg",0.401570814540328,0.0637984552082581,0,1,0,0,1,0,0,0,0,0,0,0
129,괴물.jpg,0.170166362616649,0.16629449517889,0,0,0,0,0,0,0,0,1,1,1,1
130,괴인.jpg,0.178846153846154,0.0854601398601399,1,0,1,1,0,1,0,0,0,0,0,0
131,교섭.jpg,0.0836026231832684,0.0262601914214817,0,1,0,0,0,0,0,0,0,0,0,0
132,교실 안의 야크.jpg,0.257375815471188,0.0283820255754236,0,0,0,0,0,0,0,1,1,0,0,0
133,교토에서 온 편지.jpg,0.176389392882065,0.0693356594556874,0,0,0,0,0,0,1,1,1,1,1,1
134,구스범스.jpg,0.187210117195377,0.0713018390950587,1,1,1,0,0,0,0,0,0,0,0,0
135,국가부도의 날.jpg,0.18934598806366,0.0959772877984085,1,1,1,0,0,0,0,0,0,0,0,0
136,국제수사.jpg,0.138097338935574,0.0501596638655462,1,1,1,0,0,0,0,0,0,0,0,0
137,국제시장.jpg,0.249669590643275,0.107851851851852,1,1,1,0,0,0,0,0,0,0,0,0
138,군산- 거위를 노래하다.jpg,0.636030592507818,0.497020872186969,1,1,1,1,1,1,1,1,1,1,1,1
139,군함도.jpg,0.117594205372889,0.0442830184224244,1,1,1,0,0,0,0,0,0,0,0,0
140,"굿 럭 투 유, 리오 그랜드.jpg",0.385607212475633,0.145589668615984,0,0,0,1,1,1,1,1,1,0,0,0
141,굿 보스.jpg,0.216738311235171,0.0685666434054431,0,0,0,0,0,0,1,1,1,0,1,0
142,굿모닝 맨하탄.jpg,1.0,0.135118964310707,0,1,1,0,1,1,0,0,0,0,0,0
143,굿모닝 에브리원.jpg,0.317154239196328,0.0985970381917381,1,1,1,1,1,1,0,0,0,0,0,0
144,굿바이 싱글.jpg,0.564818648018648,0.126898523698524,1,1,1,0,0,0,0,0,0,0,0,0
145,궁합.jpg,0.252300350877193,0.0848421052631579,0,1,0,0,1,0,0,0,0,0,0,0
146,귀공자.jpg,0.241333741258741,0.063118006993007,1,1,1,0,1,0,0,0,0,0,0,0
147,"귀향, 끝나지 않은 이야기.jpg",0.523088873337999,0.320391882435269,0,0,0,0,0,0,1,1,1,1,1,1
148,귀향.jpg,0.422543227161358,0.281472873643682,1,1,1,1,1,1,0,0,0,0,0,0
149,그 후.jpg,0.246074270557029,0.158086870026525,0,0,0,0,0,0,1,1,1,1,1,1
150,그것만이 내 세상.jpg,0.712722807017544,0.428304561403509,0,0,0,0,0,0,1,1,1,1,1,1
151,그녀.jpg,0.167524938960586,0.0355129054761074,0,1,0,0,0,0,0,0,0,0,0,0
152,그녀가 말했다.jpg,0.0861269074844955,0.0339864877510153,0,0,0,0,0,0,1,1,0,1,1,0
153,그대 어이가리.jpg,0.209230220955096,0.120354953670706,0,0,1,0,0,1,0,0,1,0,0,1
154,그대 이름은 장미.jpg,0.317676870902787,0.224680279524264,0,0,0,0,0,0,1,1,1,1,1,1
155,그대를 사랑합니다.jpg,0.256572676116971,0.140346315662051,0,0,0,0,0,0,1,1,1,1,1,1
156,그란 투리스모.jpg,0.142085179354091,0.0968619719760678,1,1,1,0,0,0,0,0,0,0,0,0
157,그랑프리.jpg,0.313997890295359,0.1960935302391,1,1,1,1,1,1,0,0,0,0,0,0
158,"그래, 가족.jpg",0.283898367046328,0.0963455149501661,1,1,1,0,0,0,0,0,0,0,0,0
159,그랜드파더.jpg,0.255879935017111,0.0675954012657754,1,1,1,1,1,1,0,0,0,0,0,0
160,그렇게 아버지가 된다.jpg,0.42345016884266,0.197367137981472,0,1,1,0,1,1,0,0,0,0,0,0
161,그레이 맨.jpg,0.196841284128413,0.0578499849984999,1,1,1,1,1,0,0,0,0,0,0,0
162,그레이스 오브 모나코.jpg,0.341350559862187,0.0881068044788975,1,1,1,1,1,1,0,0,0,0,0,0
163,그레이의 50가지 그림자.jpg,0.297820352630848,0.146534385601441,1,1,1,1,1,1,0,0,0,0,0,0
164,그레이트 뷰티.jpg,0.266906895208414,0.0616361511492014,0,0,0,0,0,0,0,0,0,1,1,1
165,그린 북.jpg,0.146024208206041,0.030766850999652,0,1,0,0,0,0,0,0,0,0,0,0
166,그린 존.jpg,0.210097155979509,0.0808108108108108,1,1,1,1,1,1,0,0,0,0,0,0
167,그린 호넷.jpg,0.335044788975021,0.0799767441860465,1,1,1,1,1,1,0,0,0,0,0,0
168,그린랜드.jpg,0.172014695591323,0.0514359692092372,1,1,1,0,0,0,0,0,0,0,0,0
169,그물.jpg,0.32275742035742,0.242931468531469,0,0,0,0,0,0,1,1,1,1,1,1
170,그을린 사랑.jpg,0.322286821705426,0.0767441860465116,1,1,1,0,0,0,0,0,0,0,0,0
171,극비수사.jpg,0.197997919916797,0.0616640665626625,0,1,1,0,0,0,0,0,0,0,0,0
172,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전.jpg,0.23944548439668,0.109715614392631,1,1,1,0,0,0,0,0,0,0,0,0
173,극장판 가면라이더 이그제이드- 트루 엔딩.jpg,0.20124054382346,0.120529496822416,1,1,1,1,1,1,0,0,0,0,0,0
174,극장판 가면라이더- 세이버X젠카이저 슈퍼히어로 전기.jpg,0.234178182209832,0.100703080579998,0,0,0,1,1,1,1,1,0,0,0,0
175,극장판 시그널.jpg,0.0535280508964719,0.0473828802776171,1,1,0,0,0,0,0,0,0,0,0,0
176,극장판 타오르지마 버스터-블랙어썰트의 귀환.jpg,0.300457984844233,0.154415043502666,1,1,1,0,1,0,0,0,0,0,0,0
177,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~.jpg",0.25934350877193,0.182354210526316,1,1,1,1,1,1,0,0,0,0,0,0
178,극장판 파워레인저 캡틴포스- 지구를 위한 싸움.jpg,0.154419113171677,0.0971363305054816,1,1,1,0,1,0,0,0,0,0,0,0
179,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE.jpg,0.304425300263627,0.137646599529262,1,1,1,1,1,1,0,0,0,0,0,0
180,극장판 파워레인저- 닌자포스 VS 트레인포스 닌자 인 원더랜드.jpg,0.27616527512984,0.155261644101049,1,1,1,1,1,1,0,0,0,0,0,0
181,극장판 파워레인저- 애니멀포스 VS 닌자포스 미래에서 온 메시지.jpg,0.174229649122807,0.124635964912281,1,1,1,1,1,1,0,0,0,0,0,0
