,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
33,교회오빠,https://www.kobis.or.kr/common/mast/movie/2019/03/d5dbb0c19f8b409fa98f47adefc205da.jpg,교회오빠.jpg,20198597,"장편 | 예술,독립 영화 | 다큐멘터리 | 84분 56초 | 전체관람가 | 한국",2D,[주연] 이관희 | 오은주 | 이소연(딸) | 이소연(가족) | 김양진(우리들교회)
34,조조 래빗,https://www.kobis.or.kr/common/mast/movie/2020/02/b0393d31921b4f9e9f1be393f6ed2dd2.jpg,조조 래빗.jpg,20197390,"장편 | 예술영화 | 코미디, 드라마, 전쟁 | 108분 17초 | 12세이상관람가 | 미국",2D,[주연] 스칼렛 요한슨 | 로만 그리핀 데이비스 | 타이카 와이티티 | 토마신 맥켄지 | 샘 록웰 | 레벨 윌슨 | 스테판 머천트 | 알피 알렌
35,캣츠 앤 독스 2,https://www.kobis.or.kr/upload/up_img/cleansing/12/mov_20100812_3.jpg,캣츠 앤 독스 2.jpg,20100812,"장편 | 일반영화 | 가족, 코미디, 액션 | 82분 0초 | 전체관람가 | 미국, 오스트리아","필름,2D,3D",[주연] 닐 패트릭 해리스(로우) | 크리스 오도넬 | 베트 미들러 | 닉 놀테 | 제임스 마스던 | 크리스티나 애플게이트 | 캣 윌리엄스
36,당갈,https://www.kobis.or.kr/common/mast/movie/2018/03/ccc794ce1acb4d1ebbf8dfe2074f7121.jpg,당갈.jpg,20182561,"장편 | 예술영화 | 액션, 드라마 | 160분 45초 | 12세이상관람가 | 인도",2D,[주연] 아미르 칸 | 파티마 사나 셰이크 | 산야 말호트라
37,프로포즈 데이,https://www.kobis.or.kr/common/mast/movie/2011/12/6147839a564b4295bf0d3ad55a70d2bd.jpg,프로포즈 데이.jpg,20100128,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 100분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 에이미 아담스 | 매튜 굿
38,언더워터,https://www.kobis.or.kr/common/mast/movie/2020/05/6a44ec56bc8c4e599b5dcb951c3ea6c1.jpg,언더워터.jpg,20209161,장편 | 일반영화 | 스릴러 | 94분 51초 | 15세이상관람가 | 미국,2D,[주연] 크리스틴 스튜어트(노라) | 뱅상 카셀(캡틴)
39,더 콘서트,https://www.kobis.or.kr/common/mast/movie/2011/12/5643b869c2b3422c88f23a49a037aba0.jpg,더 콘서트.jpg,20101206,"장편 | 예술영화 | 드라마, 코미디 | 122분 0초 | 전체관람가 | 프랑스, 이탈리아, 벨기에, 루마니아","필름,2D",[주연] 알렉세이 구스코프  | 드미트리 나자로브 
40,피터와 드래곤,https://www.kobis.or.kr/common/mast/movie/2016/09/dbbe33dc226d44f58d7e8f8eefff53c1.jpg,피터와 드래곤.jpg,20160143,"장편 | 일반영화 | 어드벤처, 가족, 판타지 | 102분 36초 | 전체관람가 | 미국","2D,3D,4D",[주연] 브라이스 달라스 하워드 | 오크스 페글리 | 웨스 벤틀리 | 칼 어번 | 로버트 레드포드 | 크레이그 홀 | 이시아 휘틀록 주니어
41,히트,https://www.kobis.or.kr/upload/up_img/2011/09/mov_4GB82J_20110915173641_1.jpg,히트.jpg,20112221,"장편 | 일반영화 | 드라마, 액션, 코미디 | 102분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 박성웅(철수) | 한재석(바지) | 정성화(제임스) | 송영창(장사장) | 이하늬(선녀) | 마르코(순남) | 윤택(용식)
42,베이블레이드 버스트 갓 : 갓 발키리의 탄생,https://www.kobis.or.kr/common/mast/movie/2017/05/45b7d0697f66472d950b4c23cea50490.jpg,베이블레이드 버스트 갓 - 갓 발키리의 탄생.jpg,20176141,장편 | 일반영화 | 애니메이션 | 78분 46초 | 전체관람가 | 일본,2D,[주연] 김현지(강산 목소리) | 한신(호락 목소리) | 김보영(태이 목소리) | 이호산(시스코 목소리) | 김영은(프리 목소리)
43,디어 에반 핸슨,https://www.kobis.or.kr/common/mast/movie/2021/10/633a24295bb54a4b9bcecc8ffe39cc64.jpg,디어 에반 핸슨.jpg,20210244,"장편 | 일반영화 | 뮤지컬, 드라마 | 137분 17초 | 12세이상관람가 | 미국",2D,[주연] 벤 플랫(에반 핸슨) | 줄리안 무어(하이디) | 에이미 아담스(신시아) | 케이틀린 디버(조이) | 아만들라 스텐버그(알라나) | 닉 도다니(제라드) | 콜튼 라이언(코너)
44,할로윈,https://www.kobis.or.kr/common/mast/movie/2018/10/998595f165254888b858e5668dc2d96c.jpg,할로윈.jpg,20180987,장편 | 일반영화 | 공포(호러) | 105분 47초 | 청소년관람불가 | 미국,2D,[주연] 제이미 리 커티스 | 주디 그리어 | 윌 패튼 | 닉 캐슬
45,맨 프롬 UNCLE,https://www.kobis.or.kr/common/mast/movie/2015/10/cad59deea0ad421fba9c007a9a1835b3.jpg,맨 프롬 UNCLE.jpg,20152745,"장편 | 일반영화 | 액션, 어드벤처, 코미디 | 116분 18초 | 12세이상관람가 | 미국","필름,2D,4D,IMAX",[주연] 헨리 카빌 | 아미 해머 | 알리시아 비칸데르 | 엘리자베스 데비키 | 휴 그랜트
