,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
131,트루맛쇼,https://www.kobis.or.kr/upload/up_img/2011/05/mov_HBG719_20110531105827_1.jpg,트루맛쇼.jpg,20110607,장편 | 예술영화 | 다큐멘터리 | 70분 0초 | 12세이상관람가 | 한국,"필름,2D",[주연] 박나림 | 황재웅(트루맛쇼 가짜 체험)
132,제로 포커스,https://www.kobis.or.kr/common/mast/movie/2011/12/d3cdd490acad48beb55e55f75765cbd1.jpg,제로 포커스.jpg,20100102,"장편 | 일반영화 | 드라마, 미스터리 | 130분 0초 | 15세이상관람가 | 일본",필름,[주연] 히로스에 료코(데이코 ) | 나카타니 미키(사치코) | 키무라 타에(히사코 )
133,밤의 이야기,https://www.kobis.or.kr/common/mast/movie/2012/12/0765b27f7a2f4726b8103c80cbadfcb3.jpg,밤의 이야기.jpg,20125567,"장편 | 예술영화 | 애니메이션, 판타지 | 84분 0초 | 전체관람가 | 프랑스","필름,2D",[주연] 줄리엔 베라미스 | 마리엔 그리셋
134,피터팬: 후크 선장과 결투의 날,https://www.kobis.or.kr/common/mast/movie/2019/05/3443b270c250496c99e869b0ad835ed0.jpg,피터팬- 후크 선장과 결투의 날.jpg,20192001,"장편 | 일반영화 | 애니메이션, 어드벤처 | 88분 17초 | 전체관람가 | 아일랜드",2D,
135,어우동: 주인 없는 꽃,https://www.kobis.or.kr/common/mast/movie/2015/01/94624f378afb4f69a89c538ef9bac0d2.jpg,어우동- 주인 없는 꽃.jpg,20149298,장편 | 일반영화 | 멜로/로맨스 | 101분 16초 | 청소년관람불가 | 한국,"필름,2D",[주연] 백도빈 | 송은채 | 여욱환 | 남경읍
136,시크릿 가든,https://www.kobis.or.kr/common/mast/movie/2020/08/3f17b9692fbf42c7b502fd549eab92d8.jpg,시크릿 가든.jpg,20203461,"장편 | 예술영화 | 드라마, 가족, 판타지 | 99분 54초 | 전체관람가 | 영국",2D,[주연] 딕시 에저릭스 | 콜린 퍼스 | 줄리 월터스
137,도성풍운 3,https://www.kobis.or.kr/common/mast/movie/2016/11/7350ea04da1647778fdfeacf05a26869.jpg,도성풍운 3.jpg,20162207,"장편 | 예술영화 | 코미디, 드라마 | 113분 0초 | 15세이상관람가 | 홍콩",2D,[주연] 주윤발 | 유덕화
138,더 레이서,https://www.kobis.or.kr/common/mast/movie/2021/01/e7fe10be0026470c865b2d5ff30dfb2f.jpg,더 레이서.jpg,20215221,장편 | 예술영화 | 드라마 | 97분 5초 | 15세이상관람가 | 기타,2D,[주연] 루이스 탈페 | 마테오 시모니 | 타라 리 | 이아인 글렌
139,타투,https://www.kobis.or.kr/common/mast/movie/2015/11/386fe8d4c43e47d6a22d2a4357983320.jpg,타투.jpg,20147130,장편 | 일반영화 | 스릴러 | 92분 26초 | 청소년관람불가 | 한국,"필름,2D",[주연] 송일국(한지순) | 윤주희 | 권현상 | 서영
140,조금만 더 가까이,https://www.kobis.or.kr/upload/up_img/2011/01/mov_FH70EE_20110111172042_1.jpg,조금만 더 가까이.jpg,20101028,"장편 | 예술영화 | 멜로/로맨스, 드라마 | 108분 0초 | 청소년관람불가 | 한국","필름,2D",[주연] 윤계상(현오) | 정유미(은희) | 윤희석(주영) | 요조(혜영)
