영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
슈퍼 마리오 브라더스,https://www.kobis.or.kr/common/mast/movie/2023/04/427058c41a394d3facb6c78037a1207f.jpg,슈퍼 마리오 브라더스.jpg,20227890,"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디 | 92분 17초 | 전체관람가 | 미국","2D,3D,4D,IMAX,DOLBYCINEMA",[주연] 크리스 프랫(슈퍼 마리오) | 안야 테일러 조이(피치 공주) | 잭 블랙(쿠파) | 찰리 데이(루이지)
미니언즈2,https://www.kobis.or.kr/common/mast/movie/2022/06/06b63ec1d5074fa797be6d5c8d268995.jpg,미니언즈2.jpg,20205362,"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디 | 87분 26초 | 전체관람가 | 미국","2D,4D",[주연] 피에르 꼬팽(밥/케빈/스튜어트/미니언즈) | 스티브 카렐(그루) | 타라지 P. 헨슨(벨 바텀)
30일,https://www.kobis.or.kr/common/mast/movie/2023/10/8e6258584be54550a15ca96d1bb1011b.jpg,30일.jpg,20228819,장편 | 일반영화 | 코미디 | 119분 16초 | 12세이상관람가 | 한국,2D,[주연] 강하늘(노정열) | 정소민(홍나라) | 조민수(도보배) | 김선영(주숙정)
블랙 팬서: 와칸다 포에버,https://www.kobis.or.kr/common/mast/movie/2022/11/5fc3cbc27da64a1983c9abc90599d185.jpg,블랙 팬서- 와칸다 포에버.jpg,20226254,"장편 | 일반영화 | 액션, 어드벤처, 드라마 | 161분 7초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 레티티아 라이트 | 루피타 뇽오 | 다네이 거라이라 | 마틴 프리먼 | 다니엘 칼루야 | 안젤라 바셋 | 윈스턴 듀크 | 테노치 우에르타 메히아
비상선언,https://www.kobis.or.kr/common/mast/movie/2022/07/6f31ed7a00b14700b7a1cf27297d6d94.jpg,비상선언.jpg,20196410,장편 | 일반영화 | 드라마 | 140분 30초 | 12세이상관람가 | 한국,"2D,4D,IMAX,ScreenX",[주연] 송강호 | 이병헌 | 전도연 | 김남길 | 임시완 | 김소진 | 박해준
그대들은 어떻게 살 것인가,https://www.kobis.or.kr/common/mast/movie/2023/10/fc249dc7cd70422095a21310423d82c9.jpg,그대들은 어떻게 살 것인가.jpg,20234664,장편 | 예술영화 | 애니메이션 | 123분 47초 | 전체관람가 | 일본,"2D,IMAX,DOLBYCINEMA",[주연] 스다 마사키 | 시바사키 코우 | 키무라 요시노 | 기무라 타쿠야 | 산토키 소마 | 아이묭
스파이더맨: 노 웨이 홈,https://www.kobis.or.kr/common/mast/movie/2021/12/51ede294d96647a7a99fcdf22943391c.jpg,스파이더맨- 노 웨이 홈.jpg,20210028,"장편 | 일반영화 | 액션, 어드벤처, SF | 148분 1초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 톰 홀랜드(피터 파커/스파이더맨) | 젠데이아 콜먼(MJ) | 베네딕트 컴버배치(닥터 스트레인지) | 제이콥 배덜런(네드 리즈) | 존 파브로(해피 호건) | 마리사 토메이(메이 숙모)
육사오(6/45),https://www.kobis.or.kr/common/mast/movie/2022/08/3e132d2e189a40d294bfecaec6ec1f7f.jpg,육사오(6-45).jpg,20217826,장편 | 일반영화 | 코미디 | 113분 17초 | 12세이상관람가 | 한국,2D,[주연] 고경표(박천우) | 이이경(리용호) | 음문석(강은표) | 박세완(리연희) | 이순원(최승일) | 곽동연(김만철) | 김민호(방철진)
존 윅 4,https://www.kobis.or.kr/common/mast/movie/2023/04/30be7bc08e504eaab8cd9545aa64749d.jpg,존 윅 4.jpg,20231089,장편 | 일반영화 | 액션 | 169분 5초 | 청소년관람불가 | 미국,"2D,4D,IMAX,DOLBYCINEMA",[주연] 키아누 리브스 | 로렌스 피쉬번 | 이안 맥쉐인 | 빌 스카스가드 | 견자단
천박사 퇴마 연구소: 설경의 비밀,https://www.kobis.or.kr/common/mast/movie/2023/09/5acf1deb1d8a45a8ac19c1d754b7bf04.jpg,천박사 퇴마 연구소- 설경의 비밀.jpg,20227410,"장편 | 일반영화 | 판타지, 액션 | 98분 8초 | 12세이상관람가 | 한국","2D,4D",[주연] 강동원(천 박사) | 허준호(범천) | 이솜(유경) | 이동휘(인배) | 김종수(황 사장)
헤어질 결심,https://www.kobis.or.kr/common/mast/movie/2022/06/5960144d7fa64411bcdb59d84bc5e4fc.jpg,헤어질 결심.jpg,20209654,"장편 | 일반영화 | 미스터리, 멜로/로맨스 | 138분 20초 | 15세이상관람가 | 한국",2D,[주연] 박해일(해준) | 탕웨이(서래) | 이정현(정안)
