영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우,등수,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관람객,장르,등급,영화구분,러닝타임,권장연령
마녀(魔女) Part2. The Other One,https://www.kobis.or.kr/common/mast/movie/2022/06/ee8d3a36ee5741fd9acb2c4e90e376cc.jpg,마녀(魔女) Part2. The Other One.jpg,20224882,장편 | 일반영화 | 액션 | 137분 30초 | 15세이상관람가 | 한국,2D,[주연] 신시아(소녀) | 박은빈(경희) | 서은수(조현) | 진구(용두) | 성유빈(대길) | 조민수(백),24,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴,(주)페퍼민트앤컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2022-06-15,개봉영화,장편,한국,1796,28920265670,2806254,6020427150,570910,액션,15세이상관람가,일반영화,137분 30초,15세이상관람가
빅 히어로,https://www.kobis.or.kr/common/mast/movie/2015/01/20d35a79794246938957b9c8eac7a52d.jpg,빅 히어로.jpg,20149951,"장편 | 일반영화 | 애니메이션, 액션, 코미디 | 107분 54초 | 전체관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 라이언 포터 | 스콧 애짓 | 다니엘 헤니 | 제이미 정 | T.J. 밀러 | 제네시스 로드리게스 | 데이몬 웨이언스 주니어 | 마야 루돌프 | 제임스 크롬웰 | 알란 터딕,207,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-01-21,개봉영화,장편,미국,825,21993119765,2801949,6512949165,772249,애니메이션,전체관람가,일반영화,107분 54초,전체관람가
덩케르크,https://www.kobis.or.kr/common/mast/movie/2022/01/d622e1b764664359818619266f8c8c79.jpg,덩케르크.jpg,20164621,"장편 | 일반영화 | 액션, 드라마, 스릴러, 전쟁 | 106분 27초 | 12세이상관람가 | 미국, 영국","2D,4D,IMAX",[주연] 톰 하디 | 마크 라이런스 | 케네스 브래너 | 킬리언 머피 | 제임스 다시,208,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-07-20,개봉영화,장편,미국,1252,24576771848,2792705,9451418198,989011,액션,12세이상관람가,일반영화,106분 27초,12세이상관람가
혹성탈출: 진화의 시작,https://www.kobis.or.kr/upload/up_img/2011/08/mov_E12J8A_20110801085818_1.jpg,혹성탈출- 진화의 시작.jpg,20110896,"장편 | 일반영화 | 액션, SF, 드라마 | 106분 0초 | 12세이상관람가 | 미국","필름,2D,4D",[주연] 브라이언 콕스 | 제임스 프랭코(윌 로드만 ) | 프리다 핀토(캐롤라인),209,루퍼트 와이어트,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-08-17,개봉영화,장편,미국,514,20629757000,2773794,6637598000,849251,액션,12세이상관람가,일반영화,106분 0초,12세이상관람가
부당거래,https://www.kobis.or.kr/upload/up_img/2011/01/mov_7F0DFD_20110126164434_1.jpg,부당거래.jpg,20100213,"장편 | 일반영화 | 범죄, 드라마 | 119분 0초 | 청소년관람불가 | 한국","필름,2D",[주연] 황정민(최철기) | 류승범(주양) | 천호진(강국장),210,류승완,"필름트레인,(주)외유내강",,CJ ENM,2010-10-28,개봉영화,장편,한국,502,21326977937,2766436,7587039000,944655,범죄,청소년관람불가,일반영화,119분 0초,청소년관람불가
메이즈 러너: 스코치 트라이얼,https://www.kobis.or.kr/common/mast/movie/2015/09/b1dcd824a12640b18e5de23a3c6525af.jpg,메이즈 러너- 스코치 트라이얼.jpg,20150622,"장편 | 일반영화 | 액션, SF, 스릴러 | 131분 35초 | 12세이상관람가 | 미국","필름,2D,3D,4D",[주연] 딜런 오브라이언 | 토마스 생스터 | 카야 스코델라리오 | 이기홍(민호),211,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-09-16,개봉영화,장편,미국,804,21596946349,2744413,5743724849,697898,액션,12세이상관람가,일반영화,131분 35초,12세이상관람가
가디언즈 오브 갤럭시 VOL. 2,https://www.kobis.or.kr/common/mast/movie/2017/03/6cb7abca1818435eb00284ced3946704.jpg,가디언즈 오브 갤럭시 VOL. 2.jpg,20163603,"장편 | 일반영화 | 액션, SF | 135분 34초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 크리스 프랫 | 조 샐다나 | 데이브 바티스타 | 빈 디젤 | 브래들리 쿠퍼,212,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-03,개봉영화,장편,미국,1218,23452674686,2735719,7669006186,854131,액션,12세이상관람가,일반영화,135분 34초,12세이상관람가
시라노; 연애조작단,https://www.kobis.or.kr/upload/up_img/cleansing/34/mov_20100834_3.jpg,시라노; 연애조작단.jpg,20100834,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 121분 0초 | 12세이상관람가 | 한국","필름,2D",[주연] 엄태웅(병훈) | 이민정(희중 ) | 최다니엘(상용) | 박신혜(민영),213,김현석,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2010-09-16,개봉영화,장편,한국,402,20171151599,2731828,7068438000,910652,멜로/로맨스,12세이상관람가,일반영화,121분 0초,12세이상관람가
내가 살인범이다,https://www.kobis.or.kr/common/mast/movie/2012/12/d45e3f9d89194febaad3841dfdfef9b0.1,내가 살인범이다.jpg,20124075,"장편 | 일반영화 | 액션, 스릴러 | 119분 0초 | 청소년관람불가 | 한국","필름,2D,4D",[주연] 정재영(최형구) | 박시후(이두석),214,정병길,"(주)다세포클럽,(주)쇼박스",,(주)쇼박스,2012-11-08,개봉영화,장편,한국,547,20338948000,2721903,6313599000,809580,액션,청소년관람불가,일반영화,119분 0초,청소년관람불가
나우 유 씨 미 : 마술사기단,https://www.kobis.or.kr/common/mast/movie/2013/07/2b26d6dd3db64bf994d558d42f201919.jpg,나우 유 씨 미 - 마술사기단.jpg,20138881,"장편 | 일반영화 | 범죄, 액션, 스릴러 | 115분 12초 | 12세이상관람가 | 미국","필름,2D",[주연] 제시 아이젠버그(마이클 아틀라스) | 마크 러팔로(딜런 홉스) | 우디 해럴슨(메리트 오스본) | 멜라니 로랑(알마 바르가스) | 아일라 피셔(헨리) | 데이브 프랑코(잭) | 마이클 케인(아서 트레슬러) | 모건 프리먼(타데우스 브래들리),215,루이스 리테리어,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,개봉영화,장편,미국,691,19146691869,2718227,6322143282,855244,범죄,12세이상관람가,일반영화,115분 12초,12세이상관람가
미스 페레그린과 이상한 아이들의 집,https://www.kobis.or.kr/common/mast/movie/2016/09/c61c5e932565463aaa8bcad56d87cd50.jpg,미스 페레그린과 이상한 아이들의 집.jpg,20164501,"장편 | 일반영화 | 미스터리, 판타지 | 126분 43초 | 12세이상관람가 | 미국, 벨기에, 영국","2D,3D,4D",[주연] 에바 그린 | 사무엘 L. 잭슨 | 에이사 버터필드 | 앨리슨 제니 | 킴 디킨스 | 주디 덴치 | 크리스 오다우드,216,팀 버튼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-09-28,개봉영화,장편,미국,904,21841214586,2718158,6220296286,737280,미스터리,12세이상관람가,일반영화,126분 43초,12세이상관람가
토르: 러브 앤 썬더,https://www.kobis.or.kr/common/mast/movie/2022/06/8df29a68f31d4005b192d80449035c09.jpg,토르- 러브 앤 썬더.jpg,20224662,"장편 | 일반영화 | 액션, 어드벤처, 판타지 | 118분 34초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 크리스 헴스워스 | 나탈리 포트만 | 테사 톰슨 | 크리스찬 베일 | 타이카 와이티티 | 크리스 프랫,25,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-07-06,개봉영화,장편,미국,2143,29494473721,2715682,8443171772,729804,액션,12세이상관람가,일반영화,118분 34초,12세이상관람가
타이탄,https://www.kobis.or.kr/upload/up_img/cleansing/18/mov_20100018_3.jpg,타이탄.jpg,20100018,"장편 | 일반영화 | 액션, 어드벤처, 판타지 | 106분 0초 | 12세이상관람가 | 미국","필름,2D,3D",[주연] 랄프 파인즈(하데스) | 샘 워싱턴(페르세우스) | 리암 니슨(제우스) | 알렉사 다바로스 | 젬마 아터튼,217,루이스 리테리어,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-04-01,개봉영화,장편,미국,694,22143097429,2685508,6821236500,798779,액션,12세이상관람가,일반영화,106분 0초,12세이상관람가
곤지암,https://www.kobis.or.kr/common/mast/movie/2018/03/7ff4348a432b42d1ae763bc99c36c593.jpg,곤지암.jpg,20180804,"장편 | 일반영화 | 공포(호러), 스릴러 | 94분 11초 | 15세이상관람가 | 한국",2D,[주연] 위하준(하준) | 박지현(지현) | 오아연(아연) | 문예원(샬롯) | 이승욱(승욱) | 류제윤(제윤),218,정범식,(주)하이브미디어코프,,(주)쇼박스,2018-03-28,개봉영화,장편,한국,1124,21442114144,2675559,4978152594,596536,공포(호러),15세이상관람가,일반영화,94분 11초,15세이상관람가
소원,https://www.kobis.or.kr/common/mast/movie/2013/09/e1dee6a8976f4d94a092d2b05918a0f6.jpg,소원.jpg,20134582,장편 | 일반영화 | 드라마 | 122분 30초 | 12세이상관람가 | 한국,"필름,2D",[주연] 설경구(임동훈) | 엄지원(김미희) | 이레(소원),219,이준익,(주)필름모멘텀,,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,개봉영화,장편,한국,641,18251983100,2663170,3769048600,518005,드라마,12세이상관람가,일반영화,122분 30초,12세이상관람가
살인자의 기억법,https://www.kobis.or.kr/common/mast/movie/2017/08/e918165af83f4cafaa116374d18d8086.jpg,살인자의 기억법.jpg,20154909,"장편 | 일반영화 | 범죄, 스릴러 | 118분 0초 | 15세이상관람가 | 한국",2D,[주연] 설경구(병수) | 김남길(태주) | 설현(은희) | 오달수,220,원신연,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,(주)영화사 이창",,(주)쇼박스,2017-09-06,개봉영화,장편,한국,1064,21361479492,2656694,5389419142,643595,범죄,15세이상관람가,일반영화,118분 0초,15세이상관람가
브레이킹 던 part2,https://www.kobis.or.kr/common/mast/movie/2012/12/b6dd217357494ef98b11dc762c9d504d.jpg,브레이킹 던 part2.jpg,20126469,"장편 | 일반영화 | 드라마, 판타지, 멜로/로맨스 | 115분 0초 | 15세이상관람가 | 미국","필름,2D,4D",[주연] 크리스틴 스튜어트 | 로버트 패틴슨 | 테일러 로트너 | 다코타 패닝,221,빌 콘돈,,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2012-11-15,개봉영화,장편,미국,665,18909583065,2654817,5571602065,745970,드라마,15세이상관람가,일반영화,115분 0초,15세이상관람가
탐정 : 더 비기닝,https://www.kobis.or.kr/common/mast/movie/2015/08/2bd56bcb1d47426eb4fe5ec67afd053a.jpg,탐정 - 더 비기닝.jpg,20156557,"장편 | 일반영화 | 코미디, 범죄 | 119분 58초 | 15세이상관람가 | 한국","필름,2D",[주연] 권상우 | 성동일,222,김정훈,(주)크리픽쳐스,,(주)씨제이이엔엠,2015-09-24,개봉영화,장편,한국,764,20463956973,2625686,4092941173,504961,코미디,15세이상관람가,일반영화,119분 58초,15세이상관람가
미니언즈,https://www.kobis.or.kr/common/mast/movie/2015/07/b7149b2b220d4bc6a36531a8abca8882.jpg,미니언즈.jpg,20145361,장편 | 일반영화 | 애니메이션 | 90분 55초 | 전체관람가 | 미국,"필름,2D,3D,4D",[주연] 산드라 블록 | 존 햄 | 마이클 키튼,223,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-29,개봉영화,장편,미국,792,18997911278,2625572,4787634178,630536,애니메이션,전체관람가,일반영화,90분 55초,전체관람가
후궁 : 제왕의 첩,https://www.kobis.or.kr/common/mast/movie/2012/06/d540a7263d8a47a394d52289d4ea6a96.jpg,후궁 - 제왕의 첩.jpg,20113533,"장편 | 일반영화 | 사극, 멜로/로맨스 | 122분 0초 | 청소년관람불가 | 한국","필름,2D",[주연] 조여정(화연) | 김동욱(성원대군) | 김민준(권유),224,김대승,(주)황기성 사단,,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06,개봉영화,장편,한국,624,19250354500,2621436,5525028500,716851,사극,청소년관람불가,일반영화,122분 0초,청소년관람불가
트랜스포머: 최후의 기사,https://www.kobis.or.kr/common/mast/movie/2017/05/d680d9aac560438d8d5a0bb12253b2fa.jpg,트랜스포머- 최후의 기사.jpg,20166967,"장편 | 일반영화 | 액션, 어드벤처, SF | 150분 33초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 마크 월버그 | 안소니 홉킨스 | 로라 하드독 | 조쉬 더하멜,225,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21,개봉영화,장편,미국,1739,21501959228,2614601,5273073728,609345,액션,12세이상관람가,일반영화,150분 33초,12세이상관람가
제이슨 본,https://www.kobis.or.kr/common/mast/movie/2016/07/860fbb10b3aa4a7baf1bc8d29b86dc56.JPG,제이슨 본.jpg,20161907,"장편 | 일반영화 | 액션, 스릴러 | 123분 10초 | 15세이상관람가 | 미국","2D,IMAX",[주연] 맷 데이먼 | 줄리아 스타일즈 | 토미 리 존스 | 뱅상 카셀 | 알리시아 비칸데르,226,폴 그린그래스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-27,개봉영화,장편,미국,827,21253434663,2611966,6707397843,797790,액션,15세이상관람가,일반영화,123분 10초,15세이상관람가
드래곤 길들이기,https://www.kobis.or.kr/common/mast/movie/2019/01/e709eda9d20947709ec6560f105c21e2.jpg,드래곤 길들이기.jpg,20100190,"장편 | 일반영화 | 애니메이션, 코미디, 어드벤처, 가족 | 98분 0초 | 전체관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 제이 바루첼(히컵) | 제라드 버틀러(스토이크),227,딘 데블로이스,드림웍스 애니메이션,"유니버설픽쳐스인터내셔널 코리아(유),CJ ENM","유니버설픽쳐스인터내셔널 코리아(유),CJ ENM",2010-05-20,개봉영화,장편,미국,562,27471926367,2603857,9508353500,846400,애니메이션,전체관람가,일반영화,98분 0초,전체관람가
지금 만나러 갑니다,https://www.kobis.or.kr/common/mast/movie/2018/02/805da720187745428af62e69a0490595.jpg,지금 만나러 갑니다.jpg,20170669,장편 | 일반영화 | 멜로/로맨스 | 131분 58초 | 12세이상관람가 | 한국,2D,[주연] 소지섭(우진) | 손예진(수아) | 김선웅(우진 무술 대역),228,이장훈,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14,개봉영화,장편,한국,1163,20800916128,2602273,5390273428,652981,멜로/로맨스,12세이상관람가,일반영화,131분 58초,12세이상관람가
도리를 찾아서,https://www.kobis.or.kr/common/mast/movie/2016/06/01b06b05488c43caa7b272ab4721241d.jpg,도리를 찾아서.jpg,20159058,"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디 | 102분 57초 | 전체관람가 | 미국","2D,3D,IMAX",[주연] 엘렌 드제너스 | 알버트 브룩스 | 다이안 키튼,229,앤드류 스탠튼,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-07-06,개봉영화,장편,미국,1091,20703899933,2601734,6199961913,724706,애니메이션,전체관람가,일반영화,102분 57초,전체관람가
위험한 상견례,https://www.kobis.or.kr/upload/up_img/2011/03/mov_969HI2_20110331091137_1.jpg,위험한 상견례.jpg,20119618,"장편 | 일반영화 | 코미디, 멜로/로맨스 | 118분 0초 | 12세이상관람가 | 한국","필름,2D",[주연] 송새벽 | 이시영 | 백윤식 | 김수미 | 박철민,230,김진영,(주)전망좋은 영화사,,롯데쇼핑㈜롯데엔터테인먼트,2011-03-31,개봉영화,장편,한국,524,19174920500,2595625,5930105000,765417,코미디,12세이상관람가,일반영화,118분 0초,12세이상관람가
아수라,https://www.kobis.or.kr/common/mast/movie/2016/08/e4ab63d7674a4d3caccad90f5fcbd1f8.jpg,아수라.jpg,20153443,"장편 | 일반영화 | 범죄, 액션 | 132분 21초 | 청소년관람불가 | 한국",2D,[주연] 정우성(한도경) | 황정민(박성배) | 주지훈(문선모),231,김성수,(주)사나이픽처스,,(주)씨제이이엔엠,2016-09-28,개봉영화,장편,한국,1278,20576226662,2594028,5577412282,676676,범죄,청소년관람불가,일반영화,132분 21초,청소년관람불가
보안관,https://www.kobis.or.kr/common/mast/movie/2017/04/a0a61182480742cab6baec22c4b7dc25.jpg,보안관.jpg,20162722,"장편 | 일반영화 | 범죄, 코미디 | 115분 8초 | 15세이상관람가 | 한국",2D,[주연] 이성민(대호) | 조진웅(종진) | 김성균(덕만),232,김형주,"(주)영화사 월광,(주)사나이픽처스",,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,개봉영화,장편,한국,1091,20697532509,2571491,4093422209,491530,범죄,15세이상관람가,일반영화,115분 8초,15세이상관람가
기술자들,https://www.kobis.or.kr/common/mast/movie/2014/12/4c267391910a42f396e325b68738de42.jpg,기술자들.jpg,20149265,"장편 | 일반영화 | 범죄, 액션 | 116분 24초 | 15세이상관람가 | 한국","필름,2D",[주연] 김우빈(지혁) | 김영철(조 사장) | 고창석 | 이현우(종배) | 조윤희 | 임주환,233,김홍선,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,개봉영화,장편,한국,641,19894297783,2564340,4534671083,564420,범죄,15세이상관람가,일반영화,116분 24초,15세이상관람가
퍼시픽 림,https://www.kobis.or.kr/common/mast/movie/2013/06/edc6718634c6404fb48e67d12245e48c.jpg,퍼시픽 림.jpg,20136961,"장편 | 일반영화 | 액션, SF, 어드벤처 | 131분 17초 | 12세이상관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 찰리 허냄(롤리 안트로버스 ) | 론 펄먼(한니발 펜테코스트 ) | 이드리스 엘바(스탁커 펜테코스트 ) | 찰리 데이(뉴트 갓립),234,길예르모 델 토로,,워너브러더스 코리아(주),워너브러더스 코리아(주),2013-07-11,개봉영화,장편,미국,1005,20477392512,2539114,6769401012,776183,액션,12세이상관람가,일반영화,131분 17초,12세이상관람가
엑스맨: 퍼스트 클래스,https://www.kobis.or.kr/upload/up_img/2011/05/mov_3JAF53_20110517143940_1.jpg,엑스맨- 퍼스트 클래스.jpg,20110561,장편 | 일반영화 | 액션 | 132분 0초 | 12세이상관람가 | 미국,"필름,2D",[주연] 로즈 번(닥터 모이라 맥타거트 ) | 재뉴어리 존스(엠마 프로스트 ) | 마이클 패스벤더(에릭 렌셔 / 매그네토 ) | 케빈 베이컨(세바스찬 쇼우 ) | 제임스 맥어보이(프러페서 찰스 자비에),235,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-06-02,개봉영화,장편,미국,587,19063768000,2532306,6847701000,870595,액션,12세이상관람가,일반영화,132분 0초,12세이상관람가
목격자,https://www.kobis.or.kr/common/mast/movie/2018/07/129cf0d4f6ff4c11810e7e3aa6006fcf.jpg,목격자.jpg,20170670,장편 | 일반영화 | 스릴러 | 111분 1초 | 15세이상관람가 | 한국,2D,[주연] 이성민(상훈) | 김상호 | 진경(수진) | 곽시양(태호) | 김수영(수진대역),237,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,1021,21732042597,2524086,4600434447,514732,스릴러,15세이상관람가,일반영화,111분 1초,15세이상관람가
마이펫의 이중생활,https://www.kobis.or.kr/common/mast/movie/2016/06/36f51361442940a0a72eb8952677f9ff.jpg,마이펫의 이중생활.jpg,20156082,"장편 | 일반영화 | 애니메이션, 코미디, 가족 | 90분 44초 | 전체관람가 | 미국","2D,3D",[주연] 스티브 쿠건 | 엘리 켐퍼 | 레이크 벨 | 데이너 카비 | 케빈 하트,238,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,2517805,5360235715,656542,애니메이션,전체관람가,일반영화,90분 44초,전체관람가
증인,https://www.kobis.or.kr/common/mast/movie/2019/01/b03236fb26e0406a862cc004b274b790.jpg,증인.jpg,20185881,장편 | 일반영화 | 드라마 | 129분 4초 | 12세이상관람가 | 한국,2D,[주연] 정우성(순호) | 김향기(지우) | 정우성(순호),239,이한,"(주)무비락,(주)도서관옆스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-13,개봉영화,장편,한국,1047,20312348931,2516128,4478036341,547326,드라마,12세이상관람가,일반영화,129분 4초,12세이상관람가
조작된 도시,https://www.kobis.or.kr/common/mast/movie/2017/02/002b47f5fa964ce5b5e0e3555dfa29ea.jpg,조작된 도시.jpg,20150964,"장편 | 일반영화 | 범죄, 액션 | 126분 0초 | 15세이상관람가 | 한국",2D,[주연] 지창욱(권유) | 심은경(여울) | 안재홍(데몰리션),240,박광현,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",,(주)씨제이이엔엠,2017-02-09,개봉영화,장편,한국,1019,20119979587,2512572,4696743687,564486,범죄,15세이상관람가,일반영화,126분 0초,15세이상관람가
반창꼬,https://www.kobis.or.kr/common/mast/movie/2012/12/b28ad1ccf26e4a83b086e76f5837853e.1,반창꼬.jpg,20124399,장편 | 일반영화 | 멜로/로맨스 | 120분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 고수(강일) | 한효주(미수),241,정기훈,(주)영화사오름,,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,개봉영화,장편,한국,466,17883988787,2471721,4304602748,568409,멜로/로맨스,15세이상관람가,일반영화,120분 0초,15세이상관람가
블랙머니,https://www.kobis.or.kr/common/mast/movie/2019/11/a0f2cf5089ce4cb78abaa0b6f3d2137e.jpg,블랙머니.jpg,20195002,"장편 | 일반영화 | 범죄, 드라마 | 113분 20초 | 12세이상관람가 | 한국",2D,[주연] 조진웅(양민혁) | 이하늬(김나리),242,정지영,"유한회사 질라라비,(주)아우라픽처스",,(주)에이스메이커무비웍스,2019-11-13,개봉영화,장편,한국,1117,20747796510,2465678,5032675390,579290,범죄,12세이상관람가,일반영화,113분 20초,12세이상관람가
보스 베이비,https://www.kobis.or.kr/common/mast/movie/2017/03/53a53ff01f564f62a93802df0e54f3b1.jpg,보스 베이비.jpg,20174061,"장편 | 일반영화 | 애니메이션, 코미디, 가족 | 97분 28초 | 전체관람가 | 미국","2D,3D",[주연] 알렉 볼드윈 | 리사 쿠드로 | 스티브 부세미 | 토비 맥과이어 | 지미 키멜,243,톰 맥그라스,,(주)씨제이이엔엠,(주)씨제이이엔엠,2017-05-03,개봉영화,장편,미국,1116,18918869704,2450023,4724943504,582820,애니메이션,전체관람가,일반영화,97분 28초,전체관람가
화차,https://www.kobis.or.kr/common/mast/movie/2012/02/1976feeeba6549a993ff0376996df652.jpg,화차.jpg,20124050,장편 | 일반영화 | 미스터리 | 117분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 이선균(문호 ) | 김민희(선영) | 조성하(종근 ) | 김별(한나 ),244,변영주,(주)영화제작소보임,,필라멘트픽쳐스,2012-03-08,개봉영화,장편,한국,548,18450760000,2435211,6041917500,760953,미스터리,15세이상관람가,일반영화,117분 0초,15세이상관람가
이웃사람,https://www.kobis.or.kr/common/mast/movie/2012/07/4871b7c52925464a8c5ec42d0d6d216f.jpg,이웃사람.jpg,20125920,장편 | 일반영화 | 스릴러 | 110분 0초 | 청소년관람불가 | 한국,"필름,2D",[주연] 김윤진(송경희) | 마동석 | 천호진 | 김성균 | 김새론 | 임하룡(김상영) | 장영남(하태선) | 도지한(안상윤),245,김휘,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,개봉영화,장편,한국,600,18087442369,2434099,5411949754,697152,스릴러,청소년관람불가,일반영화,110분 0초,청소년관람불가
조선명탐정: 흡혈괴마의 비밀,https://www.kobis.or.kr/common/mast/movie/2018/02/47973e24185e4d63a3d18ee125605cc2.jpg,조선명탐정- 흡혈괴마의 비밀.jpg,20179205,"장편 | 일반영화 | 사극, 어드벤처, 코미디 | 119분 37초 | 12세이상관람가 | 한국","2D,4D",[주연] 김명민 | 오달수 | 김지원(영월) | 김범 | 김태윤(좀비),246,김석윤,청년필름(주),,(주)쇼박스,2018-02-08,개봉영화,장편,한국,1249,19690818764,2424330,4072581264,490363,사극,12세이상관람가,일반영화,119분 37초,12세이상관람가
재심,https://www.kobis.or.kr/common/mast/movie/2017/02/e49da588a07c4b1986da4245bd700397.jpg,재심.jpg,20166421,장편 | 일반영화 | 드라마 | 118분 54초 | 15세이상관람가 | 한국,2D,[주연] 정우 | 강하늘(조현우) | 김해숙 | 이동휘 | 한재영 | 이경영,247,김태윤,(주)이디오플랜,,"오퍼스픽쳐스(유),CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,2420729,4569982837,555767,드라마,15세이상관람가,일반영화,118분 54초,15세이상관람가
신비한 동물들과 그린델왈드의 범죄,https://www.kobis.or.kr/common/mast/movie/2018/11/71e89d810a6d42ccad60391cc3a4c1ae.jpg,신비한 동물들과 그린델왈드의 범죄.jpg,20176814,장편 | 일반영화 | 판타지 | 133분 39초 | 12세이상관람가 | 미국,"2D,3D,4D,IMAX,ScreenX",[주연] 에디 레드메인 | 캐서린 워터스턴 | 앨리슨 수돌 | 댄 포글러 | 에즈라 밀러 | 주드 로 | 조니 뎁 | 칼럼 터너 | 조 크라비츠 | 수현,248,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-11-14,개봉영화,장편,미국,1601,20816583118,2414062,6579253518,721713,판타지,12세이상관람가,일반영화,133분 39초,12세이상관람가
터미네이터: 다크 페이트,https://www.kobis.or.kr/common/mast/movie/2019/10/953ea06760fd4e7886c13146fe311d01.jpg,터미네이터- 다크 페이트.jpg,20192083,"장편 | 일반영화 | 액션, 어드벤처, SF | 128분 3초 | 15세이상관람가 | 미국","2D,4D,IMAX",[주연] 맥켄지 데이비스 | 아놀드 슈왈제네거 | 린다 해밀턴 | 나탈리아 레이즈 | 가브리엘 루나,249,팀 밀러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-10-30,개봉영화,장편,미국,1315,20167141830,2410227,5471943420,623198,액션,15세이상관람가,일반영화,128분 3초,15세이상관람가
히트맨,https://www.kobis.or.kr/common/mast/movie/2020/01/426077efe151446a909abc5c2c4a005a.jpg,히트맨.jpg,20192101,"장편 | 일반영화 | 코미디, 액션 | 109분 47초 | 15세이상관람가 | 한국",2D,[주연] 권상우(준) | 정준호(덕규) | 황우슬혜(미나) | 이이경(철) | 이지원(가영),250,최원섭,베리굿스튜디오(주),,롯데컬처웍스(주)롯데엔터테인먼트,2020-01-22,개봉영화,장편,한국,1122,20614278000,2406232,4072414720,472840,코미디,15세이상관람가,일반영화,109분 47초,15세이상관람가
사바하,https://www.kobis.or.kr/common/mast/movie/2019/01/dbb297ce69464591a40a1c3b02543b53.jpg,사바하.jpg,20177539,"장편 | 일반영화 | 미스터리, 스릴러 | 122분 49초 | 15세이상관람가 | 한국",2D,[주연] 이정재(박목사) | 박정민(정나한) | 이재인 | 유지태(김동수),251,장재현,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019-02-20,개봉영화,장편,한국,1174,20002183194,2397792,5593443364,654182,미스터리,15세이상관람가,일반영화,122분 49초,15세이상관람가
