영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
특별시민,https://www.kobis.or.kr/common/mast/movie/2017/04/adb0f089950448e58814d1160d44a4ee.jpg,특별시민.jpg,20162871,장편 | 일반영화 | 드라마 | 130분 24초 | 15세이상관람가 | 한국,2D,[주연] 최민식 | 곽도원 | 심은경 | 문소리 | 라미란 | 류혜영 | 이기홍
퓨리,https://www.kobis.or.kr/common/mast/movie/2014/11/9f4c80806c8c42ef8e95bbaa369bdda0.jpg,퓨리.jpg,20140694,"장편 | 일반영화 | 액션, 드라마, 전쟁 | 134분 27초 | 15세이상관람가 | 미국, 영국","필름,2D",[주연] 브래드 피트 | 로건 레먼 | 샤이아 라보프 | 마이클 페나 | 존 번탈
포드 V 페라리,https://www.kobis.or.kr/common/mast/movie/2019/09/c6285d80179d46e7b312ef2e19e236f5.jpg,포드 V 페라리.jpg,20192401,"장편 | 일반영화 | 액션, 드라마 | 152분 22초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 맷 데이먼 | 크리스찬 베일
차형사,https://www.kobis.or.kr/common/mast/movie/2012/05/100f54b3ec9345ef9d92856da0894634.jpg,차형사.jpg,20124065,"장편 | 일반영화 | 코미디, 액션 | 110분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 강지환(차철수) | 성유리(고영재) | 이수혁(김선호) | 김영광(한승우) | 신민철(여민승)
은교,https://www.kobis.or.kr/common/mast/movie/2012/03/e0dc9ca3afc14f2885efae6eb0ffe868.jpg,은교.jpg,20124066,장편 | 일반영화 | 멜로/로맨스 | 129분 0초 | 청소년관람불가 | 한국,"필름,2D",[주연] 박해일(이적요) | 김무열(서지우) | 김고은(한은교)
궁합,https://www.kobis.or.kr/common/mast/movie/2018/02/edd18c41d2cc46c499d3dfa2dae60d5a.jpg,궁합.jpg,20150969,"장편 | 일반영화 | 코미디, 드라마 | 109분 53초 | 12세이상관람가 | 한국",2D,[주연] 심은경(송화옹주) | 이승기(서도윤)
신들의 전쟁,https://www.kobis.or.kr/upload/up_img/2011/11/mov_A5331C_20111101085140_1.jpg,신들의 전쟁.jpg,20111987,"장편 | 일반영화 | 드라마, 액션, 판타지 | 110분 0초 | 청소년관람불가 | 미국","필름,2D,3D,4D",[주연] 미키 루크(하이페리온 왕 ) | 헨리 카빌(테세우스 ) | 프리다 핀토(페드라 )
오션스8,https://www.kobis.or.kr/common/mast/movie/2018/05/d58c5fe66f594198be935a32eb5a0bde.jpg,오션스8.jpg,20184903,"장편 | 일반영화 | 액션, 범죄 | 110분 2초 | 12세이상관람가 | 미국",2D,[주연] 산드라 블록 | 케이트 블란쳇 | 앤 해서웨이 | 민디 캘링 | 사라 폴슨 | 아콰피나 | 리한나 | 헬레나 본햄 카터
미스터 고,https://www.kobis.or.kr/common/mast/movie/2013/07/aceadbe85d144bdf8d04ff8ac3cccb1b.jpg,미스터 고.jpg,20124082,"장편 | 일반영화 | 코미디, 드라마 | 132분 32초 | 12세이상관람가 | 한국, 중국","필름,2D,3D,4D",[주연] 서교 | 성동일
굿 다이노,https://www.kobis.or.kr/common/mast/movie/2015/12/927c8f50c5d547b1b94ce19f041b2d8b.jpg,굿 다이노.jpg,20155422,"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디 | 100분 37초 | 전체관람가 | 미국","필름,2D,3D",
드라큘라: 전설의 시작,https://www.kobis.or.kr/common/mast/movie/2014/09/6ad6451eeebf4e3ba92166545c9c40c4.jpg,드라큘라- 전설의 시작.jpg,20141261,"장편 | 일반영화 | 판타지, 액션 | 92분 11초 | 15세이상관람가 | 미국","필름,2D,IMAX",[주연] 루크 에반스 | 도미닉 쿠퍼
사라진 밤,https://www.kobis.or.kr/common/mast/movie/2018/02/ef2b24fa8d0640468a948989b73b0c5f.jpg,사라진 밤.jpg,20178781,장편 | 일반영화 | 스릴러 | 101분 5초 | 15세이상관람가 | 한국,2D,[주연] 김상경 | 김강우 | 김희애(설희)
가디언즈 오브 갤럭시,https://www.kobis.or.kr/common/mast/movie/2014/07/40f587a7b4274bddbaae95b238f11407.jpg,가디언즈 오브 갤럭시.jpg,20149317,"장편 | 일반영화 | 액션, 어드벤처, SF | 120분 42초 | 12세이상관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 크리스 프랫 | 조 샐다나 | 데이브 바티스타 | 빈 디젤 | 브래들리 쿠퍼
간첩,https://www.kobis.or.kr/common/mast/movie/2012/08/ea96d3dbe8ca406b8a6f6a4d117bf2d1.jpg,간첩.jpg,20124400,"장편 | 일반영화 | 드라마, 코미디, 액션 | 115분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 김명민(김 과장) | 염정아(강 대리) | 유해진(최 부장) | 변희봉(윤 고문) | 정겨운(우 대리)
월드 인베이젼,https://www.kobis.or.kr/upload/up_img/2011/03/mov_91EI92_20110303091617_1.jpg,월드 인베이젼.jpg,20119707,"장편 | 일반영화 | SF, 액션 | 116분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 아론 에크하트 | 미쉘 로드리게즈 | 브리짓 모나핸
